,name,full_count,search_termconf_str,last_authors_count,CVPR2017,CVPR2018,CVPR2019,ICML2017,ICML2018,ICML2019,NIPS2017,NIPS2018,NIPS2019,search_term
0,Anton van,18,,18,y,y,y,n,n,n,n,n,n,Anton van scholar
1,van den,30,,30,y,y,y,y,y,y,y,y,n,van den scholar
2,den Hengel,18,,12,y,y,y,n,n,n,n,n,n,den Hengel scholar
3,Marc Pollefeys,28,,19,y,y,y,n,n,n,y,n,n,Marc Pollefeys scholar
4,Daniel Cremers,16,,12,y,y,y,n,n,y,n,n,n,Daniel Cremers scholar
5,Michael J.,36,,36,y,y,y,y,y,y,y,y,n,Michael J. scholar
6,J. Black,27,,12,y,y,y,n,n,n,n,n,n,J. Black scholar
7,Li Liu,17,,0,y,y,y,n,n,n,n,n,n,Li Liu scholar
8,Ling Shao,27,,16,y,y,y,n,n,n,n,n,n,Ling Shao scholar
9,Fumin Shen,15,,0,y,y,y,n,n,n,n,n,n,Fumin Shen scholar
10,Larry S.,18,,18,y,y,y,n,n,n,n,y,y,Larry S. scholar
11,S. Davis,18,,16,y,y,y,n,n,n,n,y,y,S. Davis scholar
12,Le Song,26,,21,y,y,n,y,y,y,y,y,y,Le Song scholar
13,Luc Van,28,,28,y,y,y,n,n,n,y,n,n,Luc Van scholar
14,Van Gool,28,,21,y,y,y,n,n,n,y,n,n,Van Gool scholar
15,Abhinav Gupta,22,,15,y,y,n,y,n,y,n,y,y,Abhinav Gupta scholar
16,Devi Parikh,22,,9,y,y,y,n,n,y,y,n,y,Devi Parikh scholar
17,Li Fei-Fei,26,,17,y,y,y,n,y,n,n,n,n,Li Fei-Fei scholar
18,Dhruv Batra,20,,9,y,y,y,n,y,y,y,n,y,Dhruv Batra scholar
19,Philip H.,22,,22,y,y,n,y,n,n,y,y,y,Philip H. scholar
20,H. S.,22,,22,y,y,n,y,n,n,y,y,y,H. S. scholar
21,S. Torr,22,,13,y,y,n,y,n,n,y,y,y,S. Torr scholar
22,Manmohan Chandraker,17,,15,y,y,y,n,n,n,y,n,n,Manmohan Chandraker scholar
23,Song-Chun Zhu,16,,11,y,y,y,n,y,n,n,y,y,Song-Chun Zhu scholar
24,Philip S.,16,,16,y,y,y,y,y,y,y,n,y,Philip S. scholar
25,Honglak Lee,20,,11,y,y,n,y,y,y,y,y,y,Honglak Lee scholar
26,Raquel Urtasun,22,,13,y,y,y,y,y,n,y,y,y,Raquel Urtasun scholar
27,Richard S.,21,,21,y,y,n,y,y,y,y,y,y,Richard S. scholar
28,S. Zemel,21,,17,y,y,n,y,y,y,y,y,y,S. Zemel scholar
29,Eric P.,28,,28,y,y,y,y,y,y,y,y,y,Eric P. scholar
30,P. Xing,28,,23,y,y,y,y,y,y,y,y,y,P. Xing scholar
31,Ali Farhadi,17,,7,y,y,y,n,n,n,n,n,y,Ali Farhadi scholar
32,Hao Su,18,,5,y,y,y,n,n,n,y,y,y,Hao Su scholar
33,Leonidas J.,20,,20,y,y,y,n,y,n,y,y,y,Leonidas J. scholar
34,J. Guibas,20,,15,y,y,y,n,y,n,y,y,y,J. Guibas scholar
35,Ming-Hsuan Yang,31,,25,y,y,y,n,n,n,y,y,y,Ming-Hsuan Yang scholar
36,Sanja Fidler,16,,8,y,y,y,n,n,y,y,y,n,Sanja Fidler scholar
37,Antonio Torralba,15,,11,y,y,y,n,n,n,n,y,n,Antonio Torralba scholar
38,Liang Lin,27,,12,y,y,y,n,n,y,n,y,n,Liang Lin scholar
39,Xiaodan Liang,29,,0,y,y,y,y,n,y,y,y,y,Xiaodan Liang scholar
40,Jiajun Wu,15,,4,y,y,n,n,n,y,y,y,y,Jiajun Wu scholar
41,Pushmeet Kohli,19,,9,y,y,y,y,y,y,y,y,y,Pushmeet Kohli scholar
42,Chen Change,16,,16,y,y,y,n,n,n,n,y,n,Chen Change scholar
43,Change Loy,16,,5,y,y,y,n,n,n,n,y,n,Change Loy scholar
44,Dahua Lin,20,,16,y,y,y,n,n,y,y,y,n,Dahua Lin scholar
45,Hongsheng Li,15,,9,y,y,y,n,n,n,n,y,y,Hongsheng Li scholar
46,Wanli Ouyang,24,,3,y,y,y,n,n,n,y,y,n,Wanli Ouyang scholar
47,Junjie Yan,20,,8,y,y,y,n,n,n,n,y,n,Junjie Yan scholar
48,Xiaogang Wang,43,,16,y,y,y,n,n,n,y,y,y,Xiaogang Wang scholar
49,Wei Liu,45,,16,y,y,y,y,y,n,y,y,y,Wei Liu scholar
50,X. Yu,15,,7,y,y,y,y,y,y,y,y,n,X. Yu scholar
51,Bernt Schiele,33,,18,y,y,y,n,n,n,y,y,n,Bernt Schiele scholar
52,Deva Ramanan,19,,12,y,y,y,n,y,n,y,n,y,Deva Ramanan scholar
53,Jiashi Feng,35,,17,y,y,y,n,y,n,y,y,y,Jiashi Feng scholar
54,Shuicheng Yan,20,,12,y,y,n,n,y,n,y,y,y,Shuicheng Yan scholar
55,Ruslan Salakhutdinov,18,,6,y,y,y,y,y,y,y,y,y,Ruslan Salakhutdinov scholar
56,Alexei A.,16,,16,y,y,y,y,y,y,y,n,y,Alexei A. scholar
57,A. Efros,15,,7,y,y,y,y,y,n,y,n,y,A. Efros scholar
58,Trevor Darrell,21,,9,y,y,y,y,y,n,y,y,y,Trevor Darrell scholar
59,Yi Yang,19,,12,y,y,y,n,n,n,n,n,y,Yi Yang scholar
60,Chunhua Shen,25,,1,y,y,y,n,y,n,n,n,y,Chunhua Shen scholar
61,Jiwen Lu,16,,1,y,y,y,n,n,n,y,n,n,Jiwen Lu scholar
62,Jie Zhou,15,,12,y,y,y,n,n,n,y,n,n,Jie Zhou scholar
63,Jitendra Malik,15,,13,y,y,y,y,n,n,y,y,n,Jitendra Malik scholar
64,Silvio Savarese,16,,14,y,y,y,n,n,n,n,y,y,Silvio Savarese scholar
65,Mingsheng Long,20,,0,y,y,y,y,y,y,y,y,y,Mingsheng Long scholar
66,Jianmin Wang,18,,2,y,y,y,y,y,y,y,y,y,Jianmin Wang scholar
67,Qi Tian,18,,16,y,y,y,n,n,n,n,n,y,Qi Tian scholar
68,Xiaoming Liu,15,,9,y,y,y,n,n,n,n,n,n,Xiaoming Liu scholar
69,Torsten Sattler,15,,2,y,y,y,n,n,n,n,n,n,Torsten Sattler scholar
70,Jan Kautz,20,,17,y,y,y,n,n,n,y,y,y,Jan Kautz scholar
71,Ming-Ming Cheng,18,,4,y,y,y,n,n,n,n,y,y,Ming-Ming Cheng scholar
72,Bohyung Han,17,,11,y,y,y,n,n,n,y,y,y,Bohyung Han scholar
73,Alan L.,20,,20,y,y,y,n,y,n,y,n,n,Alan L. scholar
74,L. Yuille,20,,15,y,y,y,n,y,n,y,n,n,L. Yuille scholar
75,Wangmeng Zuo,16,,3,y,y,y,n,n,n,n,y,n,Wangmeng Zuo scholar
76,Francis Bach,17,,4,y,y,y,n,n,n,n,y,y,Francis Bach scholar
77,Andreas Geiger,20,,16,y,y,y,y,y,n,y,n,n,Andreas Geiger scholar
78,Sergey Levine,32,,24,y,y,y,y,y,y,y,y,y,Sergey Levine scholar
79,Lei Zhang,18,,14,y,y,y,n,n,n,n,y,y,Lei Zhang scholar
80,Andrea Vedaldi,16,,10,y,y,y,y,n,n,y,y,y,Andrea Vedaldi scholar
81,van der,29,,29,y,y,y,y,y,y,y,y,y,van der scholar
82,Bo Dai,15,,0,y,y,n,y,y,n,y,y,y,Bo Dai scholar
83,Nicu Sebe,15,,9,y,y,y,n,n,n,y,n,y,Nicu Sebe scholar
84,Zhe Gan,16,,0,y,y,y,y,y,n,y,y,y,Zhe Gan scholar
85,Alexander G.,28,,28,y,y,y,n,y,n,y,y,y,Alexander G. scholar
86,Jiebo Luo,15,,12,y,y,y,n,n,n,n,n,y,Jiebo Luo scholar
